 ,Month,Week,Week Counter,Total Boardings,Start of Week,Revenue Hours,Restaurant Bookings,Gas Price (C/L),University School Season,Vic Employment,BC Employment,WFH,Population Growth Rate,BC Vaccination Rate,Hospitalizations,Critical Cases,Average Temperature,Average Precip,Season 1,Season 2,Season 3,,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13,Route 14,Route 15,Route 16,Route 17,Route 18,Route 19,Route 20,Route 21,Route 22,Route 23,Route 24,Route 25,Route 26,Route 27,Route 28,Route 29,Route 30,Route 31,Route 32,Route 33,Route 34,Route 35,Route 36,Route 37,Route 38,Route 39,Route 40,Route 41,Route 42,Route 43,Route 44,Route 45,Route 46,Route 47,Route 48,Route 49,Route 50,Route 51,Route 52,Route 53,Route 54,Route 55,Route 56,Route 57,Route 58,Route 59,Route 60,Route 61,Route 62,Route 63,Route 64,Route 65,Route 66,Route 67,Route 68,Route 69,Route 70,Route 71,Route 72,Route 73,Route 74,Route 75,Route 76,Route 77,Route 78,Route 79,Route 80,Route 81,Route 82,Route 83,Route 84,Route 85,Route 86,Route 87,Route 88,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,H58,H59,H60,H61,H62,H63,H64,H65,H66,H67,H68,H69,H70,H71,H72,H73,H74,H75,H76,H77,H78,H79,H80,H81,H82,H83,H84,H85,H86,H87,H88,Total Calculated Revenue Hours
2019,1,1,1,337533,12/31/2018,12526.5,0,135,3,3.3,2651,2.1,0.02,1,0,0,5.771428571,9.7,0,0,1,,163,16031,4361,15590,,26624,7264,4097,1274,1896,23320,823,0,26927,22527,1717,0,,,,7714,7469,,2669,3182,18768,16898,16160,,9211,9940,685,,,139,,,,3671,,,,17,,,383,342,503,,32970,408,4460,464,767,529,694,482,493,394,478,6525,,72,0,589,,,,,8607,890,18287,,,6978,0,,,,,1267,150,414,,237,,297,716,7.413611111,377.0783333,162.1847222,356.9338889,,430.3497222,207.0458333,139.585,60.63083333,111.1038889,530.3502778,39.75972222,0,614.6302778,466.1194444,74.39,2.283333333,,,,187.1258333,249.5613889,,96.72944444,117.5802778,329.5780556,277.5430556,275.9236111,,207.1575,202.6058333,34.89277778,,,13.35388889,,,,169.9858333,,,,3.007777778,,,27.30777778,12.53861111,13.88777778,,518.2097222,27.64194444,241.8266667,45.80311303,46.77972973,22.74916667,42.57416667,28.91728909,29.18857143,25.20833333,27.245,190.0444444,,6.15,1.926666667,17.27916667,,,,,143.4077778,21.975,410.4113889,,,239.3716667,5.395833333,,,,,77.61027778,8.0775,55.22490079,,20.85305556,,20.90472222,51.59166667,8125.006104
2019,1,2,2,673937,1/7/2019,12526.5,0,133,1,3.3,2651,2.1,0.02,1,0,0,7.2,0.3,1,0,0,,209,27285,6544,43928,,46361,20286,9579,4526,2994,42339,5226,89,61377,47711,9671,530,,,,17294,13864,,5430,6485,42461,32969,30546,,14590,16006,1379,,,1094,,,,18489,,,,26,,,1635,789,728,,54006,2645,8124,704,1498,1009,1621,1074,1144,677,673,12918,,70,400,1575,,,,,8891,1687,26128,,,11842,0,,,,,1849,184,893,,482,,319,1084,18.14611111,543.1316667,243.2966667,561.5347222,,648.4816667,320.3586111,217.07,106.2177778,164.4633333,794.7355556,62.56888889,3.809166667,946.3883333,690.5786111,124.7155556,5.326388889,,,,293.2677778,364.0686111,,161.9627778,178.55,496.8294444,422.6333333,411.1683333,,301.175,292.1536111,57.5825,,,23.1675,,,,307.33,,,,6.272777778,,,59.64111111,25.94805556,24.85916667,,775.3716667,48.04222222,355.9175,67.55638889,69.15416667,37.35722222,62.98361111,45.79555556,42.87555556,37.44694444,39.80583333,302.5613889,,10.72638889,41.7,32.75166667,,,,,203.47,35.15111111,601.2705556,,,369.9966667,0.642777778,,,,,105.3536111,13.55583333,76.82830103,,34.58090278,,32.94305556,76.3475,12397.61948
2019,1,3,3,676048,1/14/2019,12526.5,0,132,1,3.3,2651,2.1,0.02,1,0,0,6.385714286,1.371428571,1,0,0,,215,27852,6455,45036,,48048,19357,9226,5034,3106,42241,4788,44,59726,47956,8284,436,,,,17649,14683,,5360,6621,41668,32357,30654,,14881,16025,1167,,,1403,,,,17931,,,,23,,,1497,497,951,,54207,2816,8791,714,1620,888,1017,948,1009,678,685,12981,,120,280,1414,,,,,11204,1627,26853,,,12233,92,,,,,2091,197,986,,380,,303,743,16.83611111,541.6113889,234.9122222,563.2975,,649.5691667,321.2627778,212.8072222,105.4480556,164.9358333,792.4002778,62.45361111,3.847,936.0744444,687.6280556,127.4519444,4.784444444,,,,292.1469444,373.8025,,162.353015,184.4161111,496.3,419.8872222,412.3097222,,304.6047222,288.0341667,56.09166667,,,22.19138889,,,,302.2827778,,,,5.177777778,,,57.12722222,16.25583333,24.92833333,,777.3525,48.19083333,357.5227778,67.71980676,69.60694444,36.79722222,60.84666667,41.51833333,40.48333333,36.50138889,38.52472222,304.0625,,9.551388889,46.15555556,30.67527778,,,,,208.8633333,36.59805556,596.9258333,,,364.7036111,1.063611111,,,,,118.8669444,14.055,73.41361111,,31.66083333,,35.74722222,70.29277778,12360.92954
2019,1,4,4,668159,1/21/2019,12526.5,0,130,1,3.3,2651,2.1,0.02,1,0,0,6.328571429,4.057142857,1,0,0,,324,27574,7064,43036,,48628,18945,9360,4103,3004,43019,4945,72,59111,48003,9163,165,,,,18049,13623,,5490,6188,40659,30288,29976,,15076,16643,1179,,,568,,,,16961,,,,48,,,1075,739,988,,54913,1779,8426,679,1368,784,888,680,760,697,821,13019,,135,520,1499,,,,,11532,1631,27546,,,11208,0,,,,,2324,134,956,,430,,329,1035,18.20194444,547.5013889,233.9141667,554.4519444,,651.8755556,326.9630556,217.1494444,105.2425,161.5163889,799.5225,62.54083333,4.117666667,942.605,693.8280556,125.0480556,4.290277778,,,,299.7205556,358.2863889,,162.3922222,181.3405556,487.1852778,423.3688889,414.1205556,,305.2630556,296.8611111,58.6608284,,,22.10722222,,,,301.2002778,,,,7.069444444,,,59.70305556,26.76,23.84916667,,777.6933333,43.57694444,351.8852778,62.55576339,68.92350877,38.42111111,46.26611111,34.45972222,51.14694444,37.24472222,37.95222222,304.6927778,,10.52222222,46.04444444,30.7125,,,,,209.8116667,36.85638889,590.5791667,,,365.3475,5.122222222,,,,,110.5755556,14.00055556,70.84241162,,35.69333333,,32.74444444,77.49444444,12367.82268
2019,1,5,5,666372,1/28/2019,12526.5,0,126,1,3.3,2651,2.1,0.02,1,0,0,5.214285714,0.714285714,1,0,0,,170,28055,6569,44340,,47739,19143,9060,4635,3164,40945,4936,29,57855,49275,8201,624,,,,16894,13994,,5109,6610,40405,31202,30567,,14687,16153,1155,,,1880,,,,17585,,,,47,,,1508,925,717,,54143,2569,8148,798,1608,635,1298,474,720,604,629,13097,,155,0,1458,,,,,11072,1627,27050,,,11194,0,,,,,2008,149,1065,,521,,250,922,15.98472222,543.5205556,235.0991667,572.4991667,,644.9036111,323.6358333,215.8552778,105.45,159.0280556,790.7983333,58.59666667,4.505333333,938.3661111,691.6166667,123.0055556,5.007222222,,,,298.8241667,361.6591667,,165.7363485,180.4827778,488.2536111,415.6925,411.3336111,,312.8072222,292.4161111,54.88,,,24.19305556,,,,298.1794444,,,,4.695555556,,,62.58888889,25.42222222,22.25527778,,774.3391667,48.17166667,355.425,60.13027778,68.71527778,37.60305556,62.48972222,40.18754529,46.77773148,37.22262545,39.27166667,305.5077778,,10.52222222,8.122222222,32.40055556,,,,,211.5383333,36.53111111,593.2383333,,,368.3763889,1.342222222,,,,,102.8130556,13.32944444,77.57527778,,37.93777778,,31.12666667,71.84888889,12319.83625
2019,2,6,6,656458,2/4/2019,12526.5,0,126,1,3.2,2661,2.1,0.02,1,0,0,-1.542857143,1.071428571,1,0,0,,352,26790,6836,43623,,47966,20128,8982,4351,3313,42042,4956,45,58121,46966,8506,519,,,,17004,14151,,5138,6311,39858,29601,30284,,14853,15753,1236,,,1316,,,,18571,,,,44,,,1486,974,955,,51876,2577,8124,620,1559,585,1344,648,806,684,721,11798,,0,0,1489,,,,,9879,1861,25025,,,11160,0,,,,,1980,157,1015,,322,,299,898,16.93416667,544.7325,239.3933333,561.5422222,,639.7625,319.6855556,220.7158333,106.8327778,158.2083333,794.6791667,59.46138889,4.011666667,938.2061111,682.2622222,119.3783333,4.776666667,,,,290.645,363.3769444,,148.8686111,173.0755556,486.7558333,414.7988889,417.1594444,,305.2313889,285.9527778,56.46222222,,,22.75666667,,,,299.5094444,,,,5.189444444,,,57.52222222,27.37944444,25.83388889,,771.5086111,43.925,349.4605556,70.67236222,67.98472222,30.81277778,55.75277778,42.34694444,42.10457071,35.22183796,38.77138889,288.2286111,,0,7.044444444,31.21694444,,,,,204.7919444,37.11583333,591.9741667,,,365.3986111,1.228888889,,,,,106.1611111,13.735,79.2981962,,33.07194444,,33.81388889,76.21333333,12208.95502
2019,2,7,7,652019,2/11/2019,12526.5,0,130,3,3.2,2661,2.1,0.02,1,0,0,1.614285714,4.628571429,0,0,1,,140,28377,6950,38561,,49800,17263,8123,4109,3277,43392,3911,25,58760,46822,7088,210,,,,15079,12775,,4845,6045,36190,32352,31283,,15312,16939,1531,,,1112,,,,16075,,,,24,,,1037,974,1087,,54340,1741,8422,715,1372,774,1098,1086,936,542,703,12238,,240,0,740,,,,,12354,1672,26494,,,12640,63,,,,,1884,134,1029,,18,,279,1037,17.5675,555.3169444,241.7325,570.4286111,,672.6711111,327.2163889,227.1425,111.9863889,161.2675,807.4802778,67.89222222,3.48,966.0347222,697.1580556,123.2447222,5.418055556,,,,296.5575,357.2163889,,164.7464121,180.1208333,488.6963889,437.745,427.8355556,,314.9427778,307.8075,58.115,,,25.32444444,,,,312.1283333,,,,4.254444444,,,60.94,27.40444444,28.55444444,,799.4044444,47.98111111,378.0777778,70.19478217,69.88527778,39.69166667,65.95166667,45.03611111,45.18055556,34.04916667,41.54638889,310.6905556,,19.31111111,5.277777778,19.23611111,,,,,218.7347222,42.60888889,640.9327778,,,382.1291667,2.931944444,,,,,116.277217,14.65583333,84.18333333,,11.95416667,,35.11972222,77.29,12666.75924
2019,2,8,8,516745,2/18/2019,12526.5,0,132,1,3.2,2661,2.1,0.02,1,0,0,3.942857143,0.7,1,0,0,,247,22443,5999,26282,,39730,12424,6027,1595,2524,36048,1378,43,41743,35305,4106,292,,,,11051,12528,,3659,5481,29524,26313,25602,,13532,14956,1033,,,963,,,,8697,,,,38,,,1369,690,688,,47232,1452,7119,588,1173,604,922,706,830,595,561,11317,,32,0,488,,,,,10145,1242,24120,,,10189,235,,,,,1655,340,942,,447,,551,950,13.185,455.3297222,202.8394444,453.8416667,,534.2538889,263.21,177.5855556,79.65138889,133.2116667,676.6177778,47.7125,4.092361111,777.5936111,576.1102778,103.8202778,3.651388889,,,,239.5730556,308.8019444,,110.9361111,152.3830556,407.6619444,355.9258333,349.4691667,,260.1430556,252.1097222,44.095,,,19.05944444,,,,231.3647222,,,,3.670833333,,,48.94166667,20.91694444,19.65888889,,670.2961111,35.75694444,295.7641667,54.78388889,56.2056383,30.60027778,52.05027778,35.10444444,35.11987654,33.07055556,32.3928125,248.3597222,,8.48,4.631111111,16.03888889,,,,,178.8575,28.26833333,508.5566667,,,303.8905556,2.507222222,,,,,76.30944444,13.86666667,67.35354167,,27.26471429,,27.34888889,62.9775,10233.27367
2019,2,9,9,677820,2/25/2019,12526.5,0,134,1,3.2,2661,2.1,0.02,1,0,0,2.728571429,0,1,0,0,,277,27563,6830,43208,,49623,18418,9035,4836,3025,43519,5465,59,60324,48735,8981,310,,,,16966,15118,,5427,6893,41100,29947,30707,,15553,16384,1211,,,1150,,,,17814,,,,29,,,1580,825,1160,,55665,2564,8231,886,1578,0,788,681,982,694,776,13461,,123,0,1523,,,,,10563,1727,27966,,,12447,117,,,,,1968,219,971,,475,,381,962,15.44722222,539.2394444,237.8255556,559.2063889,,645.4033333,326.0508333,214.4991667,109.21,159.9152778,799.5669444,61.19944444,3.985833333,941.1780556,694.9816667,120.3636111,5.070833333,,,,292.4361111,369.9986111,,161.1080556,179.9916667,487.0236111,411.8655556,415.3844444,,309.4197222,295.9366667,56.31596424,,,22.7675,,,,296.6475,,,,4.596111111,,,59.46472222,26.05416667,23.57638889,,789.8230556,47.775,352.19,70.57555556,70.64138889,0,68.98361111,39.76333333,41.17166667,34.91166667,38.915,304.5530556,,10.6025,8.777777778,31.39722222,,,,,207.7052778,37.64194444,593.2555556,,,370.6794444,1.939722222,,,,,113.1777778,13.09027778,72.46472222,,29.62972222,,32.68611111,79.43955462,12307.52135
2019,3,10,10,668947,3/4/2019,12526.5,0,140,1,2.9,2668,2.1,0.02,1,0,0,2.585714286,0.914285714,1,0,0,,283,27297,7169,43913,,48200,17624,9187,4359,3005,42200,4461,52,59105,48198,8440,489,,,,16498,14486,,4606,6332,40690,30789,28835,,14968,16957,1280,,,1971,,,,17333,,,,30,,,1462,708,1110,,55920,2692,8111,983,1231,724,828,849,879,666,584,13351,,80,400,1594,,,,,12259,1304,28051,,,11755,0,,,,,1769,189,999,,455,,300,937,16.04444444,550.0388889,243.1327778,565.3152778,,648.8275,320.4519444,218.1019444,102.0225,160.3452778,807.1588889,62.60739651,3.794,958.5369444,710.5072222,125.2141667,5.286666667,,,,291.25,364.5886111,,142.6540186,164.4261111,480.1675,418.0486111,409.0477778,,305.3980556,301.4947222,53.75138889,,,22.73888889,,,,301.0630556,,,,5.295,,,59.63722222,22.31305556,24.73833333,,788.1494444,46.62138889,352.0230556,62.67435452,70.7104,36.85194444,61.325,43.53,44.92131944,38.71512346,38.75868056,303.2780556,,12.635,43.7,30.15416667,,,,,212.4341667,36.51916667,603.0766667,,,366.2905556,2.760277778,,,,,102.5872222,16.00138889,75.74083333,,29.53111111,,29.61666667,77.83888889,12390.44307
